Original Label,New Label
ID7String,Trial_ID
TRIAL_ID,DROP-TRIAL_ID
TRIAL_DateAndTime,DateAndTime
TRIALinfo_WhatObjectsAvailable_number,Trackfile/Pathplot/Video
TRIALinfo_WhatObjectsAvailable,DROP-TRIALinfo_WhatObjectsAvailable
SUBJECTS_RatUniqueID,Animal_ID
SUBJECTS_RatUniqueID_BodyWeightAtTRIAL,AnimalWeight
APPARATUS_ArenaType_number,ArenaType_ID
APPARATUS_ArenaType,ArenaTypeDesc
APPARATUS_ArenaID_number,ArenaLoc_ID
APPARATUS_ArenaID,ArenaLocDesc
APPARATUS_ArenaObjects_number,ArenaObjects_ID
APPARATUS_ArenaObjects,ArenaObjectsDesc
APPARATUS_ArenaTestingRoomLightCondition_number,LightConditions_ID
APPARATUS_ArenaTestingRoomLightCondition,LightConditionsDesc
SUBJECTS_LightDarkCycleInColonyRoom_number,LightCycleColony_ID
SUBJECTS_LightDarkCycleInColonyRoom,LightCycleColonyDesc
SUBJECTS_LightDarkCycleWhenTested_number,LightCycleTest_ID
SUBJECTS_LightDarkCycleWhenTested,LightCycleTestDesc
TREATMENT_BrainSurgery_manipulation_number,SurgeryManipulation_ID
TREATMENT_BrainSurgery_manipulation,SurgeryManipulationDesc
TREATMENT_BrainSurgery_HistologyFindingsOutcome_number,SurgeryOutcome_ID
TREATMENT_BrainSurgery_HistologyFindingsOutcome,SurgeryOutcomeDesc
TREATMENT_DrugRx_NameOfDrugs,DROP-TREATMENT_DrugRx_NameOfDrugs
TREATinfo_DrugRx_SubstancesAndDosesInjected,DROP-TREATinfo_DrugRx_SubstancesAndDosesInjected
TREATinfo_DrugRx_1or2or3substancesInjectedBeforeTest,DROP-TREATinfo_DrugRx_1or2or3substancesInjectedBeforeTest
TREATMENT_DrugRx_Drug1,DrugRx_Drug1
TREATMENT_DrugRx_Dose1,DrugRx_Dose1
TREATMENT_DrugRx_Drug2,DrugRx_Drug2
TREATMENT_DrugRx_Dose2,DrugRx_Dose2
TREATMENT_DrugRx_Drug3,DrugRx_Drug3
TREATMENT_DrugRx_Dose3,DrugRx_Dose3
TRIAL_InjectionNumber,InjectionNumber
TRIAL_OFtestNumber,OFTestNumber
TRIAL_DrugRxNumber,DrugRxNumber
TRIAL_ExperimenterInitials,DROP-TRIAL_ExperimenterInitials
TRIALinfo_Experimenter,Experimenter
TRIAL_duration,Duration
RAWDATA_TrackFileForTrial_Trackduration,DROP-RAWDATA_TrackFileForTrial_Trackduration
TRIALinfo_TypeOfEvent_number,EventType_ID
TRIALinfo_TypeOfEvent,EventTypeDesc
TRIAL_FallsDuringTest_Number,FallsDuringTest
TRIAL_FallsDuringTest_TimeWhenFell,TimeWhenFell
TRIAL_ObservationsAndNotes,Notes
QSTUDYinfo_3characterCode,Study_ID
QSTUDYinfo_Expt4characterCode,Experiment_ID
QSTUDYinfo_Project_number,Project_ID
QSTUDYinfo_Project_label,ProjectDesc
QSTUDYinfo_StudyTitle,StudyDesc
QSTUDYinfo_ExptTitle,ExperimentDesc
QSTUDYinfo_ExptGroups,DROP-QSTUDYinfo_ExptGroups
RAWinfo_TRIALPositionInVideo,DROP-RAWinfo_TRIALPositionInVideo
RAWinfo_EthoVision_FrameStart2trackRat,DROP-RAWinfo_EthoVision_FrameStart2trackRat
SUBJinfo_RatUniqueID_RatNumberInQStudy_video,DROP-SUBJinfo_RatUniqueID_RatNumberInQStudy_video
SUBJinfo_RatUniqueID_RatIDonVideoBlackboard_video,DROP-SUBJinfo_RatUniqueID_RatIDonVideoBlackboard_video
SUBJinfo_RatUniqueID_ExptGroupOnVideoBlackboard,DROP-SUBJinfo_RatUniqueID_ExptGroupOnVideoBlackboard
RAWinfo_EthoVision_MovieFileName,DROP-RAWinfo_EthoVision_MovieFileName
RAWinfo_EthoVision_TrackFileNameInEthoVision,DROP-RAWinfo_EthoVision_TrackFileNameInEthoVision
RAWDATA_EthoVisionBackupFileName,DROP-RAWDATA_EthoVisionBackupFileName
RAWDATA_VideoFileForTrial_FileName,Video_ID
RAWDATA_TrackFileForTrial_FileName,DROP-RAWDATA_TrackFileForTrial_FileName
RAWDATA_TrackPathplotForTrial_FileName,DROP-RAWDATA_TrackPathplotForTrial_FileName
FRDR_URL_Video_mpg,DROP-FRDR_URL_Video_mpg
FRDR_URL_Video_xmp,DROP-FRDR_URL_Video_xmp
FRDR_URL_Track_csv,DROP-FRDR_URL_Track_csv
FRDR_URL_Track_xmp,DROP-FRDR_URL_Track_xmp
FRDR_URL_PathPlot_gif,DROP-FRDR_URL_PathPlot_gif
FRDR_URL_EthoVision_ewb,DROP-FRDR_URL_EthoVision_ewb
FRDR_DOI,DROP-FRDR_DOI
