Track file,D:\My Documents\EthoVisionExperiments\Mark\Q40_0002\data\track_00299.trk
Object,0
Samples,98901
Injection #,1,
OF,3,
Rat ID,03NS,
Drug,Saline,
Lesion ,NMDA,
Body wt,363,
Group,NAc/Saline,
Test date,2012-01-12 09:15:00.000,yyyy-MM-dd HH:mm:ss
Experimenter,Amanda Toufeili,
Digitizing computer,Anna-2,
Scorer,Emma Mauti,
Study,Q40,
Comments,,
Observations,boards maybe on opposite tables,
Frame position,109136,
Status,Acquired,
Trial duration,0000:00:55:00.000,dd:HH:mm:ss
Tracking profile,OF3 352x240,
Arena,OF3 Jun11,
Track file,track_00299.trk,
Object,0,
Arena profile,OF3,
Start date & time,2012-01-19 11:30:04.187,yyyy-MM-dd HH:mm:ss
Stop date & time,2012-01-19 12:25:04.187,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,0,
Mobility high,0,
Movie file,of3 inj1 jan12_12 46SD 03NS 12SS mpeg2 Simplicity 352x240 1168rate.mpg,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,ZONES
1,0.00,114.63,101.90,309.00,-
2,0.03,116.09,101.92,313.00,-
3,0.07,116.80,102.72,311.00,-
4,0.10,117.52,102.73,304.00,-
5,0.13,118.25,102.74,320.00,-
6,0.17,118.98,102.74,316.00,-
7,0.20,120.46,101.96,302.00,-
8,0.23,120.46,101.96,312.00,-
9,0.27,121.92,101.98,311.00,-
10,0.30,122.64,101.99,317.00,-
11,0.33,122.64,101.99,316.00,-
12,0.37,124.10,102.01,323.00,-
13,0.40,124.12,101.21,330.00,-
14,0.43,124.85,101.22,329.00,-
15,0.47,125.57,101.23,317.00,-
16,0.50,126.30,101.23,315.00,-
17,0.53,126.30,101.23,319.00,-
18,0.57,126.30,101.23,332.00,-
19,0.60,126.30,101.23,327.00,-
20,0.63,127.03,101.24,324.00,-
21,0.67,127.00,102.04,317.00,-
22,0.70,127.00,102.04,322.00,-
23,0.73,127.71,102.84,311.00,-
24,0.77,127.71,102.84,328.00,-
25,0.80,128.44,102.85,325.00,-
26,0.83,128.44,102.85,328.00,-
27,0.87,129.16,102.86,322.00,-
28,0.90,129.14,103.66,319.00,-
29,0.93,129.14,103.66,312.00,-
30,0.97,129.12,104.46,310.00,-
31,1.00,129.10,105.26,297.00,-
32,1.03,129.10,105.26,309.00,-
33,1.07,129.08,106.05,322.00,-
34,1.10,129.06,106.85,322.00,-
35,1.13,129.06,106.85,331.00,-
36,1.17,129.77,107.66,336.00,-
37,1.20,129.75,108.46,342.00,-
38,1.23,130.48,108.47,352.00,-
39,1.27,130.46,109.27,347.00,-
40,1.30,130.44,110.07,344.00,-
41,1.33,131.17,110.08,351.00,-
42,1.37,131.15,110.89,349.00,-
43,1.40,131.86,111.70,343.00,-
44,1.43,132.59,111.71,348.00,-
45,1.47,133.30,112.52,340.00,-
46,1.50,133.29,113.33,339.00,-
47,1.53,133.29,113.33,351.00,-
48,1.57,133.99,114.95,334.00,-
49,1.60,134.70,115.76,334.00,-
50,1.63,134.69,116.57,342.00,-
51,1.67,135.40,117.39,354.00,-
52,1.70,135.40,117.39,370.00,-
53,1.74,136.11,119.02,364.00,-
54,1.77,136.11,119.02,355.00,-
55,1.80,137.54,120.66,352.00,-
56,1.84,138.26,121.48,355.00,-
57,1.87,138.98,122.31,351.00,-
58,1.90,139.71,123.14,355.00,-
59,1.94,141.16,123.98,340.00,-
60,1.97,141.16,123.98,361.00,-
61,2.00,141.88,125.62,390.00,-
62,2.04,141.87,126.44,401.00,-
63,2.07,141.87,127.25,385.00,-
64,2.10,142.60,128.08,362.00,-
65,2.14,142.60,128.90,385.00,-
66,2.17,143.33,129.74,380.00,-
67,2.20,144.06,130.57,361.00,-
68,2.23,144.06,131.39,405.00,-
69,2.27,144.80,132.23,370.00,-
70,2.30,145.53,133.07,367.00,-
71,2.34,146.27,133.91,356.00,-
72,2.37,147.01,134.76,357.00,-
73,2.40,147.02,135.58,353.00,-
74,2.44,147.76,136.42,368.00,-
75,2.47,147.77,137.25,399.00,-
76,2.50,147.78,138.07,377.00,-
77,2.54,148.52,138.92,375.00,-
78,2.57,148.55,140.58,370.00,-
79,2.60,148.57,141.41,374.00,-
80,2.64,150.03,141.46,329.00,-
81,2.67,150.05,142.29,359.00,-
82,2.70,151.54,143.17,364.00,-
83,2.74,151.56,144.00,380.00,-
84,2.77,152.31,144.86,361.00,-
85,2.80,153.07,145.72,373.00,-
86,2.84,153.83,146.59,362.00,-
87,2.87,154.56,146.62,329.00,-
88,2.90,155.32,147.48,377.00,-
89,2.94,155.35,148.32,372.00,-
90,2.97,156.12,149.19,358.00,-
91,3.00,156.92,150.90,337.00,-
92,3.04,156.95,151.74,370.00,-
93,3.07,157.69,151.78,346.00,-
94,3.10,157.76,153.46,336.00,-
95,3.14,158.49,153.50,351.00,-
96,3.17,159.23,153.53,330.00,-
97,3.20,159.27,154.38,328.00,-
98,3.24,160.05,155.26,366.00,-
99,3.27,160.83,156.14,317.00,-
100,3.30,161.57,156.18,345.00,-
101,3.34,162.35,157.07,351.00,-
102,3.37,163.13,157.96,315.00,-
103,3.40,163.18,158.81,299.00,-
104,3.44,164.02,160.55,303.00,-
105,3.47,164.76,160.59,332.00,-
106,3.50,164.81,161.45,322.00,-
107,3.54,165.61,162.35,314.00,-
108,3.57,166.35,162.39,299.00,-
109,3.60,166.41,163.25,317.00,-
110,3.64,167.15,163.29,354.00,-
111,3.67,167.15,163.29,318.00,-
112,3.70,167.15,163.29,343.00,-
113,3.74,167.15,163.29,331.00,-
114,3.77,167.15,163.29,346.00,-
115,3.80,167.15,163.29,344.00,-
116,3.84,167.15,163.29,341.00,-
117,3.87,167.15,163.29,348.00,-
118,3.90,167.15,163.29,341.00,-
119,3.94,167.15,163.29,355.00,-
120,3.97,167.89,163.34,353.00,-
121,4.00,167.15,163.29,347.00,-
122,4.04,167.15,163.29,332.00,-
123,4.07,167.89,163.34,347.00,-
124,4.10,167.89,163.34,318.00,-
125,4.14,168.63,163.38,323.00,-
126,4.17,168.69,164.24,347.00,-
127,4.20,168.69,164.24,319.00,-
128,4.24,169.43,164.29,324.00,-
129,4.27,169.49,165.15,289.00,-
130,4.30,169.49,165.15,289.00,-
131,4.34,169.49,165.15,325.00,-
132,4.37,169.49,165.15,309.00,-
133,4.40,169.49,165.15,312.00,-
134,4.44,170.30,166.06,341.00,-
135,4.47,170.23,165.20,311.00,-
136,4.50,170.23,165.20,326.00,-
137,4.54,170.30,166.06,325.00,-
138,4.57,170.23,165.20,300.00,-
139,4.60,170.30,166.06,319.00,-
140,4.64,171.04,166.11,332.00,-
141,4.67,171.11,166.97,338.00,-
142,4.70,171.04,166.11,328.00,-
143,4.74,171.04,166.11,349.00,-
144,4.77,171.11,166.97,347.00,-
145,4.80,171.04,166.11,325.00,-
146,4.84,170.23,165.20,314.00,-
147,4.87,170.23,165.20,316.00,-
148,4.90,169.49,165.15,311.00,-
149,4.94,170.23,165.20,314.00,-
150,4.97,170.30,166.06,350.00,-
151,5.00,171.04,166.11,326.00,-
152,5.04,171.04,166.11,319.00,-
153,5.07,170.30,166.06,322.00,-
154,5.11,171.04,166.11,337.00,-
