sample_id,t,x,y
1,0,132.74,91.55
2,0.03,132.74,91.55
3,0.07,131.98,91.55
4,0.1,131.98,90.78
5,0.13,132.74,91.55
6,0.17,132.74,91.55
7,0.2,132.74,91.55
8,0.23,132.74,92.31
9,0.27,132.74,93.07
10,0.3,133.51,92.31
11,0.33,133.51,92.31
12,0.37,133.51,93.07
13,0.4,134.27,92.31
14,0.43,134.27,93.07
15,0.47,135.03,93.07
16,0.5,135.8,92.31
17,0.53,136.56,93.07
18,0.57,137.32,93.07
19,0.6,138.85,93.07
20,0.63,139.61,93.07
21,0.67,141.9,93.07
22,0.7,143.42,93.07
23,0.73,145.71,93.07
24,0.77,148,93.07
25,0.8,150.29,93.84
26,0.83,151.82,94.6
27,0.87,154.87,95.36
28,0.9,157.16,96.12
29,0.93,159.44,96.89
30,0.97,161.73,97.65
31,1,164.02,99.18
32,1.03,166.31,100.7
33,1.07,167.84,101.46
34,1.1,170.13,102.99
35,1.13,170.89,103.75
36,1.17,173.18,105.28
37,1.2,174.7,106.81
38,1.23,176.23,107.57
39,1.27,177.75,109.09
40,1.3,179.28,109.86
41,1.33,180.04,110.62
42,1.37,181.57,112.15
43,1.4,183.09,113.67
44,1.43,185.38,115.2
45,1.47,186.91,115.96
46,1.5,187.67,117.49
47,1.53,189.96,117.49
48,1.57,191.49,119.01
49,1.6,192.25,119.77
50,1.63,193.78,121.3
51,1.67,196.06,122.83
52,1.7,197.59,125.11
53,1.74,199.12,126.64
54,1.77,200.64,127.4
55,1.8,201.4,128.17
56,1.84,202.93,129.69
57,1.87,202.93,130.45
58,1.9,203.69,131.98
59,1.94,204.46,133.51
60,1.97,205.22,135.03
61,2,206.74,136.56
62,2.04,206.74,136.56
63,2.07,208.27,138.08
64,2.1,208.27,138.85
65,2.14,209.03,139.61
66,2.17,208.27,139.61
67,2.2,209.03,139.61
68,2.23,209.03,140.37
69,2.27,208.27,140.37
70,2.3,208.27,141.14
71,2.34,208.27,141.14
72,2.37,208.27,141.14
73,2.4,209.03,141.9
74,2.44,209.03,141.9
75,2.47,209.03,141.9
76,2.5,209.03,141.9
77,2.54,209.03,142.66
78,2.57,209.03,142.66
